Query,Qty,Manufacturer,MPN,Octopart URL,Part Description,Description,Schematic Reference,Internal Part Number,Lifecycle,Lead Time,RoHS,Total Qty (@ Batch Size: 1),SKU,SKU,SKU,SKU,SKU,Packaging,Packaging,Packaging,Packaging,Packaging,Unit Price (@ Batch Size: 1),Unit Price (@ Batch Size: 1),Unit Price (@ Batch Size: 1),Unit Price (@ Batch Size: 1),Unit Price (@ Batch Size: 1),In Stock,In Stock,In Stock,In Stock,In Stock,MOQ,MOQ,MOQ,MOQ,MOQ,URL,URL,URL,URL,URL,Distributor [Lowest Price (Selected)],SKU [Lowest Price (Selected)],Packaging [Lowest Price (Selected)],Unit Price (@ Batch Size: 1) [Lowest Price (Selected)],Line Total [Lowest Price (Selected)],Batch Total [Lowest Price (Selected)],In Stock [Lowest Price (Selected)],MOQ [Lowest Price (Selected)],URL [Lowest Price (Selected)],Notes
LQG15HN2N0C02D,2,Murata,LQG15HN2N0C02D,https://octopart.com/lqg15hn2n0c02d-murata-80990175,"Multilayer Inductor, 2 nH, 90 mohm, ± 0.2nH, 6 GHz, 900 mA, 0402",FIXED IND 2NH 900MA 90 MOHM SMD,"L101, L103",,Production (Last Updated: 1 week ago),16w,Non-Compliant,2,490-15076-1-ND,81-LQG15HN2N0C02D,,,,Cut Tape,Tape & Reel,,,,0.1,0.1,,,,198585,18560,,,,1,1,,,,https://octopart.com/opatz8j6/a1?t=F-JXVZJf8wimtM3APWML5ZQd3LniB-Hn6LlsHkTJyaxM8OHMKFS2vK5Uqaud2iAmqLys-O8bBFa7VnWbL76hyQeVA5krkXqUpiobN5sO61zB-jqhzW17lR_0w1c7aZjvig8fZ8Y8p60u7uAgnzGvJmBbzzoxLHqfcYY7y7VSCa1jIQPcCbOsQcMrtXTmrXi0x176Y8wVdqKjmUBqr9DJs9UhU40VeIJ4u-rV5jUy5H8M0lwSQFz0_lC9C4AMdaTPPcYHSQ,https://octopart.com/opatz8j6/a1?t=-82UzS56CBTrQZ6R2HP3Cd0soG8BxqmuODZZ98Xkh9sIrweA169wO6OrIYdVfLdDwKGKTRq49gPLrjB2BmOWgFJXY1jScz-bf5KnFX_WnsxXL_bjzCM-Ohw9CzPjfX_0cTYUGP7oiGMbXtnYeGuOtPclU2Fa1_6vkS_EmhsTQvB2uBgETzMOA75e4ysXSSaML6-TrdX4L3d7K4AzWSrrgQc3nvEoH5f0AbjvymlynEQhVsMYvoRp3z20fJ5WepVpwhJ00ck,,,,Digi-Key,490-15076-1-ND,Cut Tape,0.1,0.2,0.2,198585,1,https://octopart.com/opatz8j6/a1?t=F-JXVZJf8wimtM3APWML5ZQd3LniB-Hn6LlsHkTJyaxM8OHMKFS2vK5Uqaud2iAmqLys-O8bBFa7VnWbL76hyQeVA5krkXqUpiobN5sO61zB-jqhzW17lR_0w1c7aZjvig8fZ8Y8p60u7uAgnzGvJmBbzzoxLHqfcYY7y7VSCa1jIQPcCbOsQcMrtXTmrXi0x176Y8wVdqKjmUBqr9DJs9UhU40VeIJ4u-rV5jUy5H8M0lwSQFz0_lC9C4AMdaTPPcYHSQ,
L-07C2N2SV6T,1,Johanson,L-07C2N2SV6T,https://octopart.com/l-07c2n2sv6t-johanson-12608624,Inductor RF Chip Multi-Layer 0.0022uH 0.3nH 100MHz 8Q-Factor Ceramic 0.3A 0.16Ohm DCR 0402 T/R,FIXED IND 2.2NH 300MA 160MOHM SM,L102,,,15w,Compliant,1,712-1414-1-ND,609-L-07C2N2SV6T,25M7325,,,Cut Tape,Tape & Reel,,,,0.1,0.11,,,,466994,285508,0,,,1,1,20000,,,https://octopart.com/opatz8j6/a1?t=xO2R1o07rgnB6HfTjhUoNNIruOzBmRJ-U2iuDrkvJInvUQaZ_CTJM8-mLdtHgn3Gp1IscnuvmS5TMHxiUzJol0ud7I-JLUgFeNoJn_R81SBEjvVqcd0KjPb3aaIqJrHB5e_0VCHSEwjbi_vBY0-DKDJ1y1QHsg3G7CDz3he1P1lvXyFXt2OAP-_elfveqtYvKAgVFqmuDkxO3NOb7U733cPl64qQ3HHuCPUzXw2_4NcrQfJy_kPscnCbUTTTuifj9VM8,https://octopart.com/opatz8j6/a1?t=8v3aU5y_FjR9EzcZ4YczYULhYAFGuj_sbCKkCuo-qa-sUxmYEn-0mMSspQZ0myJMwzHfE1_EEptOIMo3J_7x7pbzttyOYpGDYskeImChK-w_bnZ3RUFx4Wo2CeJa6Y4_JC5g0YAlsfP_9znvJNuq1QNVY0bcGNZiLBO0zVU5cwhKBVZdfS8p7wMWIoc3rjo2UWSdCuHXSzvyQzv6-QujBOAbBXJ53kodFXhRFimRSrgxsuMAZ0r67UWJvj96qMUvO_rScg,https://octopart.com/opatz8j6/a1?t=hId78TqkJmJ0PDiobkM5AHAUUkb3UEXucCaGrPD7-uQWC3j_6GLeJpVbMoqXalNhLtw39fxqOUu3zFDekpFSeSrYl6akgVat3srubrHJJJUPobW1CJfkLASse9r9ium4iJhACG_mYUuSNvacp1_VBKV-8f7FfQALbq-FND0p7jG1RRVsYxumCqrzY20cCUcxdutnk38eG1XGMQ8DAwxVaA9eTw9rVqVIElJcz9f3ez_yhmMdw5Tgp0ORPIaGNuZj3Imgew,,,Digi-Key,712-1414-1-ND,Cut Tape,0.1,0.1,0.1,466994,1,https://octopart.com/opatz8j6/a1?t=xO2R1o07rgnB6HfTjhUoNNIruOzBmRJ-U2iuDrkvJInvUQaZ_CTJM8-mLdtHgn3Gp1IscnuvmS5TMHxiUzJol0ud7I-JLUgFeNoJn_R81SBEjvVqcd0KjPb3aaIqJrHB5e_0VCHSEwjbi_vBY0-DKDJ1y1QHsg3G7CDz3he1P1lvXyFXt2OAP-_elfveqtYvKAgVFqmuDkxO3NOb7U733cPl64qQ3HHuCPUzXw2_4NcrQfJy_kPscnCbUTTTuifj9VM8,
COM-13909,1,SparkFun,COM-13909,https://octopart.com/com-13909-sparkfun-73876107,Rx Txrx Module Ism < 1GHZ SMD,RX TXRX MODULE ISM < 1GHZ SMD,MOD501,,,6w,Non-Compliant,1,1568-1394-ND,474-COM-13909,,COM-13909,,Bulk,,,Bulk,,6.5,5.95,,,,429,177,,0,,1,1,,4,,https://octopart.com/opatz8j6/a1?t=0NTfUHROdSlA99h-HnuQSAFM0CEQDAwwGGijy1CoiO9RBaxsph7C1XbCjFgyvo80FgjGItojAFqrrpndcJud0ZQTK_DErefRvGG0BnGC3wCiH5XdwgRCMzKdlOUhBPXGSEAyjDveRIX1aW9H3pbJikcsBB4D5PEg-f6i2CAhUkPMCZeV3NHeGP6LMB9G2f1Vlis1LSPL7h572JLjquBMdj5dMh7fU0OAuC9PLmGaRNw66XE6b0y5whZFhfpqRp6AwkBfrA,https://octopart.com/opatz8j6/a1?t=w3XGiDDv_VjbmP3IuyGqPPQLZfhDSKc932-YdxFJTNmKivRzJ0H0ZUfn4BPUMNV28XLEMFgiMaGO-ofDqs1EMydnfc_TSGzd5U_X10l4t_TyyQcnNsMuj9D_9_uGr_kwaiBkzapiSDOfZ77ZlhWaCnHUeXpzdaa_1BF6LAYuP3r3G3YKCyWH4SCWOoC46VF97Zk-Fj6Wtd6kbmq5RPx7Wkq9w-nUa4cy4V-MVUwn7ZP1mYAjIUdFQdARleNQsnbZtzXQZfk,,https://octopart.com/opatz8j6/a1?t=ns0qDjTIHQqt27Gb8hd0nOAOoPIwSzH2v0JaLjKrsOotyZMLCplC2CqP8yzQpXQnLSMFGMoyggK81N1msdraJSVnfdr9IIdznzzHEqWlvuazYMr-_ZhaAcWxiMaXeRncvosl2djG4jbZCZv47DOyXcOtnO6zqn0taaJyyIWXDYrkLLRYZpdzGfhFG3nHmwsf6fq-hdz81qln1CYjtUyCfVRK1E27otHJKGWQE1TEwuT5SwHkSJtewsSKGablmo559tywNzY,,Mouser,474-COM-13909,,5.95,5.95,5.95,177,1,https://octopart.com/opatz8j6/a1?t=w3XGiDDv_VjbmP3IuyGqPPQLZfhDSKc932-YdxFJTNmKivRzJ0H0ZUfn4BPUMNV28XLEMFgiMaGO-ofDqs1EMydnfc_TSGzd5U_X10l4t_TyyQcnNsMuj9D_9_uGr_kwaiBkzapiSDOfZ77ZlhWaCnHUeXpzdaa_1BF6LAYuP3r3G3YKCyWH4SCWOoC46VF97Zk-Fj6Wtd6kbmq5RPx7Wkq9w-nUa4cy4V-MVUwn7ZP1mYAjIUdFQdARleNQsnbZtzXQZfk,
SBC847CDW1T1G,2,onsemi,SBC847CDW1T1G,https://octopart.com/sbc847cdw1t1g-onsemi-20761121,ON Semi SBC847CDW1T1G Dual NPN Bipolar Transistor; 0.1 A; 45 V; 6-Pin SOT-363,TRANS 2NPN 45V 0.1A SOT-363,"Q604, Q605",,Production (Last Updated: 2 years ago),50w,Compliant,2,SBC847CDW1T1GOSCT-ND,863-SBC847CDW1T1G,50AC7288,,8058842,Cut Tape,Tape & Reel,,,,0.26,0.26,,,,9080,27473,0,,0,1,1,5,,100,https://octopart.com/opatz8j6/a1?t=sdyewdAwUauwj3RJVKgq-0H0jMv6aaGUw1ajZ8wkQ4ie_jRJkwPWH6kXv3Exxsys5aZfLETJHcAGqvsmJh09alLxPA3Hh-WnpIB8Z_t0qSABawFpi8Akl59OVwgwVyJ4bNHjcDkrkolaXHikHP32BNzUu9Q8mTMDgbKcVHKh5WCYcf2obC9JyiaUoIbnjXs8BuRVhbHhvRT6sCI-RnP3sBOWY1KxXTUxi474MaiNTPacJ9pxnOvBQfxhCc4VRX8Li_ivhw,https://octopart.com/opatz8j6/a1?t=kFCiolLY6e4x4DzXbJkRxXGO4wrCG5GumUq-wuF6gij8Osq7tYUZJSlU8fyBPzoRyWXosJe32e0nhB9xzd-mDwzfiLZXd9XatxETE2aFBUu37Ct-bMmR-sRlUjElcF1EyJ65YEvWkQD6qaW9M4OQ_3RAUwB5WaXVSbpQotgChYXjql3Kbe4CzGrYG562kml4KLhCWl6o0Vd1Vc2FK8DbAiq-zFlTtH57kxFvgnm_PSa80WDXxSHNWGTEchIwNJKgZyrk_mw,https://octopart.com/opatz8j6/a1?t=fPswBdvDXZC81-eKdkbajQFj8-gM1Qw0AYOyPhovyRJDH0vJozS9My4hqYme93hyfObM3O-Ws1vUIB32Nf-2YydJkI6kcB_zm16JqyME63HU8Oc3n_Kcu8Lp5tUE9ayAzB4Ai7N1GAWS4P4utJDRFjFR9-CiF2IU7pHDXtWpqFpBMr3C_j_Z-N3Hf6fNkyB8bOWXYbpoFjm50U0hJsxWuqHuWwxKyFpn3haqisAcYGa81v0PYmEPnFNi6gjODEVcvK35KGI,,https://octopart.com/opatz8j6/a1?t=kukJMpQuP0R62Ir3eUubYyuGMlsToo0Y81cKKlHYTa81uVXTeIo_NzBCDIKQEn3fsF4iNWkEz-RLKOok5J4e0G9EugyBOqUv0bbp-ekBsS6jQH6He-1tCN2_1yAbqjn7NJ2XAJpxAVnbC8ZSoukpzVtu8OcZQOQIf-I9LcKLd7zbRV0iLAAzYotjEBobKejtXWpEBODMZypMzPd2o9-KV5Sj7HIxDYWp18tZ4Bf_yM6VDYcrHpE4pjIdLsEqD7bGtwtUWtmB,Digi-Key,SBC847CDW1T1GOSCT-ND,Cut Tape,0.26,0.52,0.52,9080,1,https://octopart.com/opatz8j6/a1?t=sdyewdAwUauwj3RJVKgq-0H0jMv6aaGUw1ajZ8wkQ4ie_jRJkwPWH6kXv3Exxsys5aZfLETJHcAGqvsmJh09alLxPA3Hh-WnpIB8Z_t0qSABawFpi8Akl59OVwgwVyJ4bNHjcDkrkolaXHikHP32BNzUu9Q8mTMDgbKcVHKh5WCYcf2obC9JyiaUoIbnjXs8BuRVhbHhvRT6sCI-RnP3sBOWY1KxXTUxi474MaiNTPacJ9pxnOvBQfxhCc4VRX8Li_ivhw,
AUIRF7316QTR,1,Infineon,AUIRF7316QTR,https://octopart.com/auirf7316qtr-infineon-65872492,Transistor MOSFET Array Dual P-CH 30V 4.9A 8-Pin SOIC T/R,MOSFET 2P-CH 30V 4.9A 8SOIC,Q606,,Production (Last Updated: 2 years ago),52w,Compliant,1,448-AUIRF7316QTRCT-ND,942-AUIRF7316QTR,13AC8126,,9075198,Cut Tape,Tape & Reel,,,,3.32,3.32,2.08,,,1634,810,1984,,2320,1,1,1,,10,https://octopart.com/opatz8j6/a1?t=ooP9N7Q0Qj2ZQlNmT40rA0_Zcp9xLPpJ_XmdjLBQBS0gfngEObOy-oZUyTCCqg-5PAnuOtDpFwWI7O8FA7QZyo8xxh2PVJ9Y6fXSBx2kQaHa7qnrfaMYeTTzzpkAHoR62Rnc-6No6KiVVIdRcinc-EAvuAJKoRszLeQNr_1msqekJ-HolkykxIlr0rqcyp1SLIACm80ZHgA8huouql1TSvnge5RyweCMrTFA61RVI0G7HhnN4yOUh8AjKwDivFJOstAoYQ,https://octopart.com/opatz8j6/a1?t=xPGgsA-qyGiR4fgN6LbUuutTSzn7xixs07m7G19_OkoazkpvYcB0pcwVuVSzXvWsM71pxrP60H1szqOMOdurQTsbF4e-LUeZgPaI_5IjFC15bEOEWqEiIj3OVg1KhcXveZ7QYxUvB3rMkRhefL4-FiQxfPCWozKZEo1Tit7yPRs3sNE18RoaMFD7H-AVeMMCZQSdbO_VjkX0U2iudIJH7CLFJjSGcdZhoRJunTtHKYWIjPyAKT4pFTzkRw38Ii8djAyz8xM,https://octopart.com/opatz8j6/a1?t=_7xSwkew03-wh6qGxEKvD6lRkiFq71BrV309cfvAPiUm8nU-Uj_CrHVs9u1IdZC5KxyySQZc-KczgeJknyFGe0mqCaoD7q-JlPwRX0Pqst-pHhQjCP93aBWbg8nGuHn20QGTyDY7xHxVkgyCxitIm1_n1yXKN9zAbbUqBK_vbmN_itNrztkOwj3gW68KHQNUeyi4PvbKKkOAP93s08lfPgc3OWIrpu9LYWF8OwjRQPfvKFdMySNMcrQ4oHSX8h_x6AC2Zww,,https://octopart.com/opatz8j6/a1?t=3mbje5cFpw0NF1v-K3F1EbGZdq5XYB4schDH6nrHje9m-IoRbJ-2n-NmlnxwbWYn2LyqOsK9zEmzuGbH2hZU75Ae0YlJOc8VorHZBwNCVl7UNJWn4qGZADJxpfyAGUkFEbS5nUPA0GCSX4Kq3M7TucpbLoGC7RDvl0YfKNwAWEiF7ZfL-P8XOkoxvSYUAtR8-bQ_MCFjGlBg7P_DoZxKfUb8-367V2QE5vVdrAmQ1c0p-CeHMw_VA3Ddwwu_m7i1AiNj0vP2,Newark,13AC8126,,2.08,2.08,2.08,1984,1,https://octopart.com/opatz8j6/a1?t=_7xSwkew03-wh6qGxEKvD6lRkiFq71BrV309cfvAPiUm8nU-Uj_CrHVs9u1IdZC5KxyySQZc-KczgeJknyFGe0mqCaoD7q-JlPwRX0Pqst-pHhQjCP93aBWbg8nGuHn20QGTyDY7xHxVkgyCxitIm1_n1yXKN9zAbbUqBK_vbmN_itNrztkOwj3gW68KHQNUeyi4PvbKKkOAP93s08lfPgc3OWIrpu9LYWF8OwjRQPfvKFdMySNMcrQ4oHSX8h_x6AC2Zww,
RMCF0402JT10K0,13,Stackpole Electronics,RMCF0402JT10K0,https://octopart.com/rmcf0402jt10k0-stackpole+electronics-19212679,Res Thick Film 0402 10K Ohm 5% 0.063W(1/16W) ±100ppm/C Pad SMD Automotive T/R,RES 10K OHM 5% 1/16W 0402,"R101, R106, R107, R108, R109, R605, R606, R607, R610, R613, R616, R619, R620",,,16w,Compliant,13,RMCF0402JT10K0CT-ND,,,RMCF0402JT10K0,,Cut Tape,,,Bulk,,0.011,,,,,7101,,,60000,,1,,,10000,,https://octopart.com/opatz8j6/a1?t=gZxJHlkB-C0g0v6ym-DPECXalFae0o0thFpfD6De3hUn0dbstooeni4sbg5lbLwDIHRrHcl-Otz4GrDjEYo5Cvu3u4gGy75fjMe1QeJ3VqI1PPVMz4tkj4RTb-LmYHdt55pxIFN3vbrcBHuWSnOufAMcBe2VmmbWepxCnmUt3u-pvrlLF4diQXqAn0RU81s_x-nFpjyRHX7orHFa7fA88LcPGfmmOD3VzwyUU89Z7Gn7Yog9yeoy3PBS2mlwnvoN0-PY,,,https://octopart.com/opatz8j6/a1?t=DoC06i92lwez_9C9nK7h65-ZOWXccMxFOpWiy7ZsIP7LLVmzLebHfOpYKswYxWXXhEz5iBj2njvghjrtOZn4bzs4krNdPHYNFm81qlPEfWycxhkBVC5wpdaUUAs7yhw5h_z5nvvP2Z2NBFzl7vbQPunGJzPTb6EKHBExAlBWHZmAPW_iBuI7_my3xILUjkkuOGRGjK4Lz81RHsh09Tb-aTeZZ8_X8K7HoLxV9_2vt39GT1nSromgHIUsoaTmWxsjcURSg8g,,Digi-Key,RMCF0402JT10K0CT-ND,Cut Tape,0.011,0.143,0.143,7101,1,https://octopart.com/opatz8j6/a1?t=gZxJHlkB-C0g0v6ym-DPECXalFae0o0thFpfD6De3hUn0dbstooeni4sbg5lbLwDIHRrHcl-Otz4GrDjEYo5Cvu3u4gGy75fjMe1QeJ3VqI1PPVMz4tkj4RTb-LmYHdt55pxIFN3vbrcBHuWSnOufAMcBe2VmmbWepxCnmUt3u-pvrlLF4diQXqAn0RU81s_x-nFpjyRHX7orHFa7fA88LcPGfmmOD3VzwyUU89Z7Gn7Yog9yeoy3PBS2mlwnvoN0-PY,
RMCF0402FT499R,5,Stackpole Electronics,RMCF0402FT499R,https://octopart.com/rmcf0402ft499r-stackpole+electronics-19212543,Res Thick Film 0402 499 Ohm 1% 0.063W(1/16W) ±100ppm/C Pad SMD Automotive T/R,RES 499 OHM 1% 1/16W 0402,"R102, R609, R612, R615, R618",,,16w,Compliant,5,RMCF0402FT499RCT-ND,,,RMCF0402FT499R,,Cut Tape,,,Bulk,,0.1,,,,,27320,,,140000,,1,,,10000,,https://octopart.com/opatz8j6/a1?t=FcwBxmeZPZy-rpcvkXDJAUTHWasZOO0JBj0ZBDtcU4pyipJQYgHgYMAP4ILKLPSrYhL5xWuIlGTsfbBvRyfCvjoZjF-JCnAS9lokCDPFtLQ6i5vmm-lnlIac-7CAwhv4RUMgnnEQKr_aj3744K3zwwbir4FUUU3bJHU0BQAKvmM9D3mW9IiN2o8oTpsh-x9w7h9F3j7Q77jCtBsoyaCejMSrfFr4cqWWX5Q8Kn__J8ssTGwIeW9Y-BOPDzunR2sPGHEH,,,https://octopart.com/opatz8j6/a1?t=siVxbynRMYzB2nPsX_u_6-8QvW-hRHZ7S8hFHTBaUSSjN-rtYJWCK0jCGRvVng8OoIoTb2EfOHrARU4rNe-Qz079TSQ9Il-RSqPnidtyucmAhtcPdbRc0dlTuGS8451ooLKbkk8nFqVO7ovkNcH3YfMd43Mindble6tZYF23xYhb5SduhgGSJBSi-68QX0Byuk7TzfGImRR1sjCXrCZrcRGc-CLDadGvpYmYczct_ZCnQf2zygTX5PV2-2AEeFJreF1R49Q,,Digi-Key,RMCF0402FT499RCT-ND,Cut Tape,0.1,0.5,0.5,27320,1,https://octopart.com/opatz8j6/a1?t=FcwBxmeZPZy-rpcvkXDJAUTHWasZOO0JBj0ZBDtcU4pyipJQYgHgYMAP4ILKLPSrYhL5xWuIlGTsfbBvRyfCvjoZjF-JCnAS9lokCDPFtLQ6i5vmm-lnlIac-7CAwhv4RUMgnnEQKr_aj3744K3zwwbir4FUUU3bJHU0BQAKvmM9D3mW9IiN2o8oTpsh-x9w7h9F3j7Q77jCtBsoyaCejMSrfFr4cqWWX5Q8Kn__J8ssTGwIeW9Y-BOPDzunR2sPGHEH,
RC0402JR-070RP,4,Yageo,RC0402JR-070RP,https://octopart.com/rc0402jr-070rp-yageo-47616050,Res Jumper Thick Film 0402 0 Ohm 5% 1/16W Molded SMD Paper T/R,RES SMD 0 OHM JUMPER 1/16W 0402,"R103, R104, R502, R504",,,20w,Compliant,4,YAG1279CT-ND,603-RC0402JR-070RP,82AH8008,,,Cut Tape,Tape & Reel,,,,0.1,0.1,,,,6762472,132358,58858,,,1,1,10,,,https://octopart.com/opatz8j6/a1?t=3WIjicdbOycap6HBjoGvewg6yACIZyWjIQxsBvVIYhD2_du8f9EVro-jtPZcAyrTLjQucSRVjZ6f5AtEObM41vm-8bhe1b9YtbZMHu4pbz-req4vUeakxNVORlj8VUe5cmk9BLg4DGkNmaifs0exeMvqGVHyTs_mvu5f1_8yj2HJuw5CBb3DHrf59K0dxlyKWPNTxQHqSywze4G1ShnY0QSC5ad4nphVEDkYSNk0PHedZuZQrER7WHlj6m478Ts0zkx4ig,https://octopart.com/opatz8j6/a1?t=Iy7sjhgzPdIlXaBKivFwYUmCWIRG-b7pfQ-VE8SRSIwqraHBg69YdlDnItqtZADFc_-6CGBBD0it3K-A0zeZ9uSBfwR5wdAqe1gaGOMOOtCqpwqtS_-XTrc3eGM9fkYSgFEHx_mIn5R2_cI_xC0x-UR45nLkK8xkqFHOZHdAOAUnPYrb7lNacL9utjmgTTD2PwHO2MhD84ny7DYKNgSCT63sYWfoANecYXW1mgbBZ1NawUlHwn6Qd7PkeNB8ICKUDXBdQpQ,https://octopart.com/opatz8j6/a1?t=YhbVHMkQLTejLhL3TXYCuEdxtoQA7M2AywlFWaOGdOW16r979TQOTglJdfjM2XT9CHC142lkzPQ-zCX1ZWmxdBwk8p6308BrqS419CNs6IkqabTZAx4kA_Tx_HFkosU4A0euIPyPc-0-P1LdkDU0Xy_0y1AjH1084xG9oH5DJQaxgkC4rP48aw5R0SwnjmcrlGD-9d1nurLY8CFTrElydHzudSAUIRLkM3Yjw7LSnTPLOSKMwh7QLHN81Vu-OjAdbUCsn1Q,,,Digi-Key,YAG1279CT-ND,Cut Tape,0.1,0.4,0.4,6762472,1,https://octopart.com/opatz8j6/a1?t=3WIjicdbOycap6HBjoGvewg6yACIZyWjIQxsBvVIYhD2_du8f9EVro-jtPZcAyrTLjQucSRVjZ6f5AtEObM41vm-8bhe1b9YtbZMHu4pbz-req4vUeakxNVORlj8VUe5cmk9BLg4DGkNmaifs0exeMvqGVHyTs_mvu5f1_8yj2HJuw5CBb3DHrf59K0dxlyKWPNTxQHqSywze4G1ShnY0QSC5ad4nphVEDkYSNk0PHedZuZQrER7WHlj6m478Ts0zkx4ig,
RNCF0402DTE100K,1,Stackpole Electronics,RNCF0402DTE100K,https://octopart.com/rncf0402dte100k-stackpole+electronics-21897869,RNCF Precision Thin Film Chip Resistor 0402 Size 100K Ohm 0.5% 0.063 W 25 ppm/°C 2-Pin SMD T/R,RES 100K OHM 0.5% 1/16W 0402,R105,,,14w,Non-Compliant,1,738-RNCF0402DTE100KCT-ND,,,RNCF0402DTE100K,,Cut Tape,,,Bulk,,0.12,,,,,10411,,,0,,1,,,10000,,https://octopart.com/opatz8j6/a1?t=kREB0jRN45Ch4pkOiV9g-KCEwvWegs0ikNzGwVvMEMA0FEAdzmO1t_hLOyD-Zd6Oice-lSpszcKwim2GV0JepLRU6946OGf-pq4aAcoUn4vdAD4e0F7mcqKC856QSuHS9gdNq4mUfJP9PQuKVzg9Kz6wEiz79yeDO_EQ6LMbBWG3R57WCt89QBKooP1lcm8AN1WiJmo_iCJvV93MOGomQoxUv311bOn6IQ5hBPBuVVpkJnDSFWyeZwBudP3rXHNd9OBMfw,,,https://octopart.com/opatz8j6/a1?t=AjoH5tV-5ZCnWewpsRTcl8U8cDXg2LfbVuqX0T53MK6Hb90CvL6848F9SbwyzTsMznuPeXnj6qu5mOqE_AeefMP8f_JtC9LMeRxt5DWMcePiR-P4LUyisAwYG5VjNmytUvbY2LOytQeT2vNCSOxsMN05G6zOwpbe1d3MzbP8m8HJJfUTuxsV2uXNH9vO6d5CRjlixO0iVV1dn_9MLeYliaoO0tzpPzgqr3FSM1mdQd4ZB_vFn9UeR-A_jwn9P3OYHkg3hEg,,Digi-Key,738-RNCF0402DTE100KCT-ND,Cut Tape,0.12,0.12,0.12,10411,1,https://octopart.com/opatz8j6/a1?t=kREB0jRN45Ch4pkOiV9g-KCEwvWegs0ikNzGwVvMEMA0FEAdzmO1t_hLOyD-Zd6Oice-lSpszcKwim2GV0JepLRU6946OGf-pq4aAcoUn4vdAD4e0F7mcqKC856QSuHS9gdNq4mUfJP9PQuKVzg9Kz6wEiz79yeDO_EQ6LMbBWG3R57WCt89QBKooP1lcm8AN1WiJmo_iCJvV93MOGomQoxUv311bOn6IQ5hBPBuVVpkJnDSFWyeZwBudP3rXHNd9OBMfw,
RMCF0805FT57K6,1,Stackpole Electronics,RMCF0805FT57K6,https://octopart.com/rmcf0805ft57k6-stackpole+electronics-19210930,Res Thick Film 0805 57.6K Ohm 1% 1/8W ±100ppm/°C Molded SMD SMD Paper T/R,RES 57.6K OHM 1% 1/8W 0805,R301,,,16w,Compliant,1,RMCF0805FT57K6CT-ND,,,RMCF0805FT57K6,,Cut Tape,,,Bulk,,0.1,,,,,8020,,,0,,1,,,5000,,https://octopart.com/opatz8j6/a1?t=mY4b2r19WbEgTVbdzzeZctrQvhxUHNkkhnEovmgHtzhN2Tx102jhm5rqvqIXqfxFf17odmqVc7ohsMHTFDdMyKsL1PmOjvoVEAm4kh4e0qgyW7_VYkS1jvn5M6biN21y33oUA3JC8tEh6rApEXFuVQclzDomuEnphrfWbfUzmboCqXxJ_6IPUFsKLrZ5tL28zvrBUm7uLsClvvPiyldvFp5B0-gG_cEDJRfZQ08AA3W1LyuC0dF6dxozrp_HJqCfNru-,,,https://octopart.com/opatz8j6/a1?t=ntcLxwqao27_5AVxtPJS6asxNbyC5bdkqDFE-j9F9v9NiVNFl051jbdxE12xidQnIjEu0HONYRrsHkkAX_X_3VpuUZ-BMAcyKY5B_Ywk2rsF_fCri-06VTWYwfeR4posfhEttwiFmBsFgm_P0I0U48OzYfR1dTX280wV3zqTseBRM0VbpjWwsNfV50NCYXS3jZrfCgBMFV52-9SpkaXdXFJGxsw5vvuQ2r5vA8zLgKePvXxFhSZnO1lz45XmLCkMeO19dvY,,Digi-Key,RMCF0805FT57K6CT-ND,Cut Tape,0.1,0.1,0.1,8020,1,https://octopart.com/opatz8j6/a1?t=mY4b2r19WbEgTVbdzzeZctrQvhxUHNkkhnEovmgHtzhN2Tx102jhm5rqvqIXqfxFf17odmqVc7ohsMHTFDdMyKsL1PmOjvoVEAm4kh4e0qgyW7_VYkS1jvn5M6biN21y33oUA3JC8tEh6rApEXFuVQclzDomuEnphrfWbfUzmboCqXxJ_6IPUFsKLrZ5tL28zvrBUm7uLsClvvPiyldvFp5B0-gG_cEDJRfZQ08AA3W1LyuC0dF6dxozrp_HJqCfNru-,
